Ref,Channel,Supplier,Location,Contact Number,Website / Social,Pole Type,Material,Height ft,Height m,Diameter / Section,Wall Thickness,Base Plate,Tapered or Straight,Profile,Galvanizing Spec,Wind Rating,Arm Included,Arm Length,No. of Arms,Anchor Bolts Included,Luminaire Included,Installation Included,Unit Price TT$ excl VAT,Unit Price TT$ incl VAT,VAT Status,Delivery Cost,MOQ,Quantity Discount 25/50/100/200,Lead Time,In Stock,Date Verified,Source URL
A1,Electrical/Lighting Wholesale,Lighthouse Ltd,"32-34 Dundonald Street, Port of Spain",(868) 625-4448,lighthousett.com,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,PRICE ON REQUEST,PRICE ON REQUEST,TBC,TBC,TBC,TBC,TBC,TBC,2026-09-14,https://lighthousett.com/
A2,Electrical/Lighting Wholesale,Lighthouse Ltd,"25 Royal Road, San Fernando",(868) 653-3177,lighthousett.com,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,PRICE ON REQUEST,PRICE ON REQUEST,TBC,TBC,TBC,TBC,TBC,TBC,2026-09-14,https://lighthousett.com/
A3,Electrical/Lighting Wholesale,Lighthouse Ltd,"Unit 1 FWC Compound, Rajkumar Trace, Freeport Village",(868) 673-3381,lighthousett.com,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,PRICE ON REQUEST,PRICE ON REQUEST,TBC,TBC,TBC,TBC,TBC,TBC,2026-09-14,https://lighthousett.com/
A4,Electrical/Lighting Wholesale,Lighthouse Ltd,"Cnr Churchill Roosevelt Hwy & Pasea Main Rd, Tunapuna",(868) 645-2123,lighthousett.com,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,PRICE ON REQUEST,PRICE ON REQUEST,TBC,TBC,TBC,TBC,TBC,TBC,2026-09-14,https://lighthousett.com/
A5,Electrical/Lighting Wholesale,Boodoo's Enterprises Ltd,"Chaguanas / Marabella / Debe / South Oropouche",Via web form,boodoosenterprises.com,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,PRICE ON REQUEST,PRICE ON REQUEST,TBC,TBC,TBC,TBC,TBC,TBC,2026-09-14,https://www.boodoosenterprises.com/
A6,Electrical/Lighting Wholesale,Trinidad LED Supplies,"331 Southern Main Road, Cunupia",(868) 497-6580,trinidadleds.com,Solar / LED,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,PRICE ON REQUEST,PRICE ON REQUEST,TBC,TBC,TBC,TBC,TBC,TBC,2026-09-14,https://www.trinidadleds.com/
A7,Electrical/Lighting Manufacture,Electrical Industries Group (Agos Lighting),Trinidad,Via web,electricalindustriesgroup.com,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,PRICE ON REQUEST,PRICE ON REQUEST,TBC,TBC,TBC,TBC,TBC,TBC,2026-09-14,https://electricalindustriesgroup.com/
A8,Electrical/Lighting Wholesale,Progressive Lighting and Electrical Ltd,"Ground Floor 14-17 Victoria Square, Port of Spain",TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,PRICE ON REQUEST,PRICE ON REQUEST,TBC,TBC,TBC,TBC,TBC,TBC,2026-09-14,TBC
A9,Lighting Retail,Lighting Paradise TT,"74 Charles Street, Gasparillo Village",Via Facebook,lptrinidad.com,Decorative outdoor post light (NOT a street lighting column),TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,No,N/A,N/A,No,Yes,No,1022.22,1150.00,Incl VAT price published,TBC,1,TBC,TBC,TBC,2026-09-14,https://www.lptrinidad.com/shop/outdoor-lights/outdoor-post-lights
B1,Hardware / Steel,Bhagwansingh's Hardware & Steel Industries Ltd,"1 Development Circular Rd, Beetham Hwy, Sea Lots, Port of Spain",Via branch,bhsil.com,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,PRICE ON REQUEST,PRICE ON REQUEST,TBC,TBC,TBC,TBC,TBC,TBC,2026-09-14,https://www.bhsil.com/
